"Ship Mode",Segment,Country,City,State,"Postal Code",Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Tables,$1004.024,7,0.20,803.2192
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Bookcases,$1336.829,13,0.15,1136.30465
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Chairs,$113.568,2,0.20,90.8544
"Standard Class",Corporate,"United States",Seattle,Washington,98105,West,Furniture,Chairs,$307.136,4,0.20,245.70880000000002
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,$383.8,5,0.20,307.04
"First Class",Consumer,"United States",Louisville,Colorado,80027,West,Technology,Accessories,$196.752,6,0.20,157.4016
"Standard Class",Corporate,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,$6.672,6,0.20,5.3376
"Standard Class","Home Office","United States",Gastonia,"North Carolina",28052,South,"Office Supplies",Binders,$189.588,2,0.70,56.87640000000002
"Standard Class","Home Office","United States",Gastonia,"North Carolina",28052,South,Technology,Accessories,$408.744,7,0.20,326.9952
"Standard Class","Home Office","United States",Gastonia,"North Carolina",28052,South,Technology,Accessories,$291.96,5,0.20,233.56799999999998
"Standard Class","Home Office","United States",Gastonia,"North Carolina",28052,South,"Office Supplies",Storage,$4.768,2,0.20,3.8144
"Standard Class",Consumer,"United States",Jacksonville,Florida,32216,South,"Office Supplies",Binders,$4.812,2,0.70,1.4436000000000004
"Standard Class",Consumer,"United States",Jacksonville,Florida,32216,South,Technology,Accessories,$247.8,5,0.20,198.24
"Second Class","Home Office","United States",Chicago,Illinois,60623,Central,Technology,Machines,$1007.979,3,0.30,705.5853
"Second Class","Home Office","United States",Chicago,Illinois,60623,Central,"Office Supplies",Paper,$313.488,7,0.20,250.7904
"Standard Class",Corporate,"United States",Houston,Texas,77070,Central,"Office Supplies",Paper,$31.872,8,0.20,25.4976
"Second Class",Corporate,"United States","New York City","New York",10024,East,Furniture,Chairs,$207.846,3,0.10,187.0614
"Standard Class",Corporate,"United States",Akron,Ohio,44312,East,Furniture,Tables,$284.364,2,0.40,170.61839999999998
"Standard Class",Corporate,"United States",Akron,Ohio,44312,East,"Office Supplies",Storage,$665.408,2,0.20,532.3264
"Standard Class",Consumer,"United States",Concord,California,94521,West,Furniture,Chairs,$129.568,2,0.20,103.65440000000001
"Standard Class",Consumer,"United States",Decatur,Illinois,62521,Central,Furniture,Chairs,$747.558,3,0.30,523.2906
"Standard Class",Consumer,"United States",Decatur,Illinois,62521,Central,"Office Supplies",Envelopes,$8.928,2,0.20,7.1424
"Standard Class",Consumer,"United States",Seattle,Washington,98115,West,"Office Supplies",Binders,$51.312,3,0.20,41.0496
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,Furniture,Furnishings,$23.56,5,0.20,18.848
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,Furniture,Tables,$1272.63,6,0.50,636.315
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,"Office Supplies",Binders,$28.485,5,0.70,8.5455
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,"Office Supplies",Supplies,$185.376,2,0.20,148.3008
"Standard Class","Home Office","United States",Phoenix,Arizona,85023,West,"Office Supplies",Appliances,$78.272,2,0.20,62.6176
"Standard Class","Home Office","United States","Park Ridge",Illinois,60068,Central,Furniture,Furnishings,$254.744,7,0.60,101.89760000000001
"Standard Class",Corporate,"United States",Amarillo,Texas,79109,Central,Furniture,Bookcases,$205.3328,2,0.32,139.626304
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,"Office Supplies",Binders,$4.788,3,0.80,0.9575999999999998
"Second Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Bookcases,$222.666,2,0.15,189.2661
"Second Class",Consumer,"United States","San Francisco",California,94110,West,Technology,Phones,$703.968,4,0.20,563.1744
"Standard Class",Corporate,"United States","Los Angeles",California,90008,West,Technology,Phones,$95.76,6,0.20,76.608
"First Class","Home Office","United States","Los Angeles",California,90045,West,Furniture,Bookcases,$514.165,5,0.15,437.04024999999996
"First Class","Home Office","United States","Los Angeles",California,90045,West,Technology,Phones,$279.96,5,0.20,223.968
"First Class",Consumer,"United States",Chicago,Illinois,60610,Central,Technology,Phones,$2735.952,6,0.20,2188.7616000000003
"Second Class","Home Office","United States",Huntsville,Texas,77340,Central,Technology,Phones,$7.992,1,0.20,6.3936
"Second Class","Home Office","United States",Huntsville,Texas,77340,Central,Technology,Accessories,$63.984,2,0.20,51.187200000000004
"Second Class","Home Office","United States",Huntsville,Texas,77340,Central,"Office Supplies",Art,$70.368,2,0.20,56.294399999999996
"Second Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Tables,$189.882,3,0.40,113.9292
"Standard Class",Consumer,"United States","Costa Mesa",California,92627,West,"Office Supplies",Binders,$119.616,8,0.20,95.6928
"Standard Class",Consumer,"United States","Costa Mesa",California,92627,West,Furniture,Chairs,$241.568,2,0.20,193.2544
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,"Office Supplies",Binders,$22.62,2,0.70,6.786000000000001
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,"Office Supplies",Binders,$14.952,2,0.70,4.4856
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,Furniture,Chairs,$801.568,2,0.20,641.2544
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,"Office Supplies",Binders,$2.376,3,0.70,0.7128000000000001
"Standard Class",Corporate,"United States",Parker,Colorado,80134,West,"Office Supplies",Paper,$32.792,1,0.20,26.233600000000003
"Second Class",Corporate,"United States","New York City","New York",10024,East,"Office Supplies",Binders,$15.92,5,0.20,12.736
"First Class",Consumer,"United States",Newark,Ohio,43055,East,"Office Supplies",Art,$7.152,3,0.20,5.7216000000000005
"Standard Class",Consumer,"United States",Houston,Texas,77041,Central,Technology,Accessories,$18.392,1,0.20,14.7136
"Standard Class",Consumer,"United States",Houston,Texas,77041,Central,"Office Supplies",Storage,$129.568,2,0.20,103.65440000000001
"Standard Class",Consumer,"United States",Houston,Texas,77041,Central,"Office Supplies",Binders,$14.112,9,0.80,2.8224
"First Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,$55.176,3,0.20,44.1408
"Standard Class","Home Office","United States",Lakeland,Florida,33801,South,Furniture,Chairs,$683.952,3,0.20,547.1616
"Standard Class","Home Office","United States",Lakeland,Florida,33801,South,Furniture,Furnishings,$45.696,3,0.20,36.556799999999996
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Storage,$36.336,3,0.20,29.0688
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Supplies,$666.248,1,0.20,532.9984000000001
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Envelopes,$52.512,6,0.20,42.0096
"Second Class",Corporate,"United States","Los Angeles",California,90036,West,Furniture,Chairs,$190.72,1,0.20,152.576
"Standard Class",Consumer,"United States",Mesa,Arizona,85204,West,"Office Supplies",Storage,$16.768,2,0.20,13.4144
"Second Class",Consumer,"United States",Chicago,Illinois,60653,Central,"Office Supplies",Binders,$42.616,7,0.80,8.523199999999996
"Standard Class","Home Office","United States","New York City","New York",10009,East,"Office Supplies",Binders,$10.752,4,0.20,8.601600000000001
"First Class",Corporate,"United States",Tucson,Arizona,85705,West,Technology,Phones,$380.864,8,0.20,304.6912
"Standard Class",Consumer,"United States",Springfield,Ohio,45503,East,"Office Supplies",Storage,$646.776,9,0.20,517.4208
"Standard Class",Consumer,"United States","Fort Worth",Texas,76106,Central,Technology,Accessories,$58.112,2,0.20,46.4896
"Standard Class",Consumer,"United States","Fort Worth",Texas,76106,Central,Technology,Phones,$100.792,1,0.20,80.6336
"Standard Class",Consumer,"United States","Fort Worth",Texas,76106,Central,Furniture,Furnishings,$66.112,4,0.60,26.4448
"First Class","Home Office","United States","New York City","New York",10035,East,"Office Supplies",Binders,$41.28,6,0.20,33.024
"Second Class",Corporate,"United States",Chicago,Illinois,60653,Central,"Office Supplies",Storage,$250.272,9,0.20,200.2176
"Second Class",Corporate,"United States",Chicago,Illinois,60653,Central,"Office Supplies",Binders,$11.364,3,0.80,2.2728
"Second Class",Corporate,"United States",Chicago,Illinois,60653,Central,"Office Supplies",Supplies,$8.72,5,0.20,6.976000000000001
"First Class",Consumer,"United States",Jacksonville,Florida,32216,South,Furniture,Furnishings,$34.504,1,0.20,27.603199999999998
"Standard Class",Consumer,"United States",Houston,Texas,77070,Central,"Office Supplies",Fasteners,$10.824,3,0.20,8.6592
"Second Class",Consumer,"United States",Wilmington,"North Carolina",28403,South,"Office Supplies",Art,$19.456,4,0.20,15.5648
"Standard Class",Consumer,"United States","Los Angeles",California,90045,West,Furniture,Tables,$1335.68,4,0.20,1068.544
"Second Class",Consumer,"United States","San Francisco",California,94110,West,"Office Supplies",Binders,$84.056,7,0.20,67.2448
"Second Class",Consumer,"United States",Tampa,Florida,33614,South,"Office Supplies",Appliances,$13,5,0.20,10.4
"Second Class",Consumer,"United States",Tampa,Florida,33614,South,Furniture,Furnishings,$13.128,3,0.20,10.5024
"First Class",Consumer,"United States","Los Angeles",California,90008,West,Technology,Phones,$374.376,3,0.20,299.50079999999997
"Standard Class",Corporate,"United States",Seattle,Washington,98105,West,"Office Supplies",Binders,$81.088,7,0.20,64.87039999999999
"Standard Class",Consumer,"United States","New York City","New York",10024,East,"Office Supplies",Binders,$33.264,7,0.20,26.611200000000004
"Standard Class",Consumer,"United States",Chicago,Illinois,60610,Central,"Office Supplies",Storage,$69.712,2,0.20,55.769600000000004
"Standard Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,$8.792,1,0.60,3.5168
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,Technology,Phones,$470.376,3,0.20,376.3008
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,Technology,Phones,$105.584,2,0.20,84.4672
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,"Office Supplies",Appliances,$31.152,3,0.20,24.9216
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,"Office Supplies",Binders,$6.783,7,0.70,2.0349000000000004
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,Technology,Phones,$406.368,4,0.20,325.0944
"Standard Class",Consumer,"United States",Salem,Oregon,97301,West,Technology,Phones,$84.784,2,0.20,67.8272
"Standard Class",Consumer,"United States",Salem,Oregon,97301,West,"Office Supplies",Paper,$20.736,4,0.20,16.5888
"Standard Class",Consumer,"United States",Salem,Oregon,97301,West,"Office Supplies",Binders,$16.821,3,0.70,5.0463000000000005
"Standard Class",Consumer,"United States",Salem,Oregon,97301,West,"Office Supplies",Paper,$10.368,2,0.20,8.2944
"Standard Class",Consumer,"United States",Laredo,Texas,78041,Central,"Office Supplies",Art,$9.344,2,0.20,7.475199999999999
"Standard Class",Consumer,"United States",Laredo,Texas,78041,Central,Technology,Accessories,$31.2,3,0.20,24.96
"Standard Class",Consumer,"United States","San Diego",California,92024,West,Technology,Copiers,$1199.976,3,0.20,959.9808
"Standard Class",Consumer,"United States","San Diego",California,92024,West,Technology,Phones,$445.96,5,0.20,356.768
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Supplies,$11.632,2,0.20,9.3056
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19120,East,Technology,Phones,$143.982,3,0.40,86.38919999999999
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19120,East,Technology,Phones,$494.376,4,0.40,296.62559999999996
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19120,East,"Office Supplies",Supplies,$5.84,2,0.20,4.672
"Standard Class",Consumer,"United States",Tampa,Florida,33614,South,"Office Supplies",Storage,$142.776,1,0.20,114.22080000000001
"Standard Class",Consumer,"United States",Tampa,Florida,33614,South,Furniture,Furnishings,$45.696,3,0.20,36.556799999999996
"Standard Class",Consumer,"United States",Tampa,Florida,33614,South,"Office Supplies",Binders,$7.218,3,0.70,2.1654
"Standard Class",Consumer,"United States",Tampa,Florida,33614,South,"Office Supplies",Binders,$43.188,4,0.70,12.956400000000002
"Standard Class",Consumer,"United States",Tampa,Florida,33614,South,"Office Supplies",Paper,$131.904,3,0.20,105.5232
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Binders,$3.282,2,0.70,0.9846000000000004
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Art,$21.168,9,0.20,16.9344
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Technology,Phones,$55.188,2,0.40,33.1128
"First Class",Corporate,"United States",Dallas,Texas,75217,Central,Technology,Phones,$369.576,3,0.20,295.6608
"First Class",Corporate,"United States",Dallas,Texas,75217,Central,"Office Supplies",Labels,$15.712,4,0.20,12.5696
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Paper,$8.448,2,0.20,6.7584
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19143,East,Technology,Phones,$728.946,9,0.40,437.3676
"Second Class",Consumer,"United States","Grove City",Ohio,43123,East,Technology,Phones,$119.94,10,0.40,71.964
"Second Class",Consumer,"United States","Grove City",Ohio,43123,East,"Office Supplies",Binders,$3.648,2,0.70,1.0944000000000003
"Second Class",Corporate,"United States","New York City","New York",10011,East,"Office Supplies",Binders,$107.424,9,0.20,85.9392
"Standard Class",Consumer,"United States",Chicago,Illinois,60610,Central,"Office Supplies",Binders,$8.69,5,0.80,1.7379999999999995
"Standard Class",Corporate,"United States",Dearborn,Michigan,48126,Central,"Office Supplies",Appliances,$555.21,5,0.10,499.689
"Standard Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Binders,$15.24,5,0.20,12.192
"Second Class",Consumer,"United States",Aurora,Colorado,80013,West,"Office Supplies",Storage,$243.384,3,0.20,194.7072
"Second Class",Consumer,"United States",Aurora,Colorado,80013,West,Technology,Accessories,$119.8,5,0.20,95.84
"Second Class",Consumer,"United States",Aurora,Colorado,80013,West,Technology,Phones,$300.768,4,0.20,240.6144
"Second Class",Consumer,"United States",Miami,Florida,33180,South,Technology,Accessories,$17.88,3,0.20,14.303999999999998
"Second Class",Consumer,"United States",Miami,Florida,33180,South,"Office Supplies",Labels,$235.944,3,0.20,188.7552
"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,"Office Supplies",Binders,$18.882,3,0.70,5.664600000000002
"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,"Office Supplies",Appliances,$122.328,3,0.20,97.86240000000001
"Standard Class","Home Office","United States",Vallejo,California,94591,West,"Office Supplies",Binders,$15.424,4,0.20,12.3392
"Standard Class",Corporate,"United States","Sierra Vista",Arizona,85635,West,"Office Supplies",Fasteners,$31.56,5,0.20,25.247999999999998
"Standard Class",Corporate,"United States","Sierra Vista",Arizona,85635,West,"Office Supplies",Appliances,$30.144,2,0.20,24.115199999999998
"Second Class",Corporate,"United States",Vancouver,Washington,98661,West,Technology,Phones,$302.376,3,0.20,241.90079999999998
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Appliances,$113.552,2,0.20,90.8416
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Binders,$3.318,2,0.70,0.9954000000000001
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,$134.288,2,0.20,107.4304
"Same Day","Home Office","United States",Aurora,Illinois,60505,Central,Furniture,Chairs,$701.372,2,0.30,490.96039999999994
"Same Day","Home Office","United States",Aurora,Illinois,60505,Central,"Office Supplies",Binders,$2.308,2,0.80,0.4615999999999998
"Standard Class",Consumer,"United States",Arlington,Texas,76017,Central,"Office Supplies",Storage,$999.432,7,0.20,799.5456
"Standard Class",Consumer,"United States",Arlington,Texas,76017,Central,"Office Supplies",Storage,$724.08,14,0.20,579.264
"Standard Class",Consumer,"United States",Arlington,Texas,76017,Central,Furniture,Tables,$918.785,5,0.30,643.1495
"Standard Class",Consumer,"United States",Arlington,Texas,76017,Central,"Office Supplies",Binders,$2.724,3,0.80,0.5448
"Second Class",Corporate,"United States",Dallas,Texas,75081,Central,"Office Supplies",Supplies,$23.76,3,0.20,19.008000000000003
"Second Class",Corporate,"United States",Dallas,Texas,75081,Central,"Office Supplies",Paper,$85.056,3,0.20,68.0448
"Second Class",Corporate,"United States",Dallas,Texas,75081,Central,Technology,Phones,$381.576,3,0.20,305.2608
"First Class",Consumer,"United States",Cleveland,Ohio,44105,East,Furniture,Furnishings,$30.36,5,0.20,24.288
"Standard Class","Home Office","United States",Chicago,Illinois,60653,Central,Furniture,Furnishings,$23.976,3,0.60,9.5904
"Standard Class","Home Office","United States",Chicago,Illinois,60653,Central,Furniture,Tables,$108.925,1,0.50,54.4625
"Standard Class","Home Office","United States",Chicago,Illinois,60653,Central,"Office Supplies",Paper,$36.352,8,0.20,29.081599999999998
"Standard Class",Consumer,"United States",Quincy,Illinois,62301,Central,"Office Supplies",Art,$19.56,5,0.20,15.648
"Standard Class",Consumer,"United States",Tyler,Texas,75701,Central,"Office Supplies",Appliances,$2.688,3,0.80,0.5375999999999999
"Standard Class",Consumer,"United States",Tyler,Texas,75701,Central,Technology,Accessories,$27.816,3,0.20,22.2528
"Standard Class",Consumer,"United States",Tyler,Texas,75701,Central,Furniture,Furnishings,$82.524,3,0.60,33.0096
"Standard Class",Consumer,"United States",Tyler,Texas,75701,Central,"Office Supplies",Binders,$182.994,3,0.80,36.59879999999998
"Standard Class",Consumer,"United States","New York City","New York",10024,East,"Office Supplies",Binders,$14.352,3,0.20,11.4816
"Same Day",Corporate,"United States",Burlington,"North Carolina",27217,South,Technology,Machines,$7999.98,4,0.50,3999.99
"Same Day",Corporate,"United States",Burlington,"North Carolina",27217,South,"Office Supplies",Appliances,$167.44,2,0.20,133.952
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,$191.984,2,0.20,153.5872
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Art,$198.272,8,0.20,158.61759999999998
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Labels,$47.36,4,0.20,37.888
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Envelopes,$200.984,7,0.20,160.7872
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Labels,$97.696,4,0.20,78.1568
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Art,$2.696,1,0.20,2.1568
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Binders,$18.588,2,0.70,5.576400000000001
"First Class","Home Office","United States",Chester,Pennsylvania,19013,East,"Office Supplies",Binders,$4.896,3,0.70,1.4688000000000003
"Standard Class",Corporate,"United States",Cleveland,Ohio,44105,East,Furniture,Furnishings,$15.072,3,0.20,12.057599999999999
"Standard Class",Consumer,"United States","Long Beach",California,90805,West,Furniture,Tables,$369.912,3,0.20,295.9296
"Standard Class",Corporate,"United States",Cary,"North Carolina",27511,South,"Office Supplies",Paper,$10.368,2,0.20,8.2944
"Standard Class",Corporate,"United States",Cary,"North Carolina",27511,South,"Office Supplies",Appliances,$166.84,5,0.20,133.472
"Standard Class",Corporate,"United States",Cary,"North Carolina",27511,South,Technology,Accessories,$15.216,1,0.20,12.172799999999999
"First Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,$883.92,5,0.20,707.136
"First Class",Consumer,"United States","New York City","New York",10035,East,"Office Supplies",Binders,$46.72,8,0.20,37.376
"Standard Class",Consumer,"United States","Palm Coast",Florida,32137,South,"Office Supplies",Envelopes,$24.448,4,0.20,19.5584
"Second Class",Corporate,"United States",Seattle,Washington,98105,West,"Office Supplies",Binders,$19.92,5,0.20,15.936000000000002
"Standard Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Furnishings,$103.056,3,0.20,82.4448
"Standard Class","Home Office","United States",Orem,Utah,84057,West,"Office Supplies",Binders,$59.808,3,0.20,47.8464
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,$129.92,5,0.20,103.93599999999999
"Standard Class",Corporate,"United States",Hialeah,Florida,33012,South,"Office Supplies",Supplies,$45.584,7,0.20,36.467200000000005
"Standard Class",Consumer,"United States",Austin,Texas,78745,Central,"Office Supplies",Envelopes,$17.568,2,0.20,14.054400000000001
"Standard Class",Consumer,"United States",Austin,Texas,78745,Central,Technology,Phones,$55.992,1,0.20,44.7936
"First Class",Consumer,"United States",Oceanside,"New York",11572,East,Furniture,Tables,$400.032,2,0.40,240.01919999999998
"First Class",Consumer,"United States",Oceanside,"New York",11572,East,Furniture,Chairs,$542.646,3,0.10,488.3814
"Standard Class","Home Office","United States",Seattle,Washington,98115,West,"Office Supplies",Binders,$99.696,6,0.20,79.7568
"Standard Class","Home Office","United States",Seattle,Washington,98115,West,"Office Supplies",Binders,$27.936,4,0.20,22.3488
"Standard Class","Home Office","United States",Seattle,Washington,98115,West,"Office Supplies",Binders,$18.72,5,0.20,14.975999999999999
"Standard Class","Home Office","United States",Naperville,Illinois,60540,Central,"Office Supplies",Labels,$11.784,3,0.20,9.427200000000001
"Standard Class","Home Office","United States",Naperville,Illinois,60540,Central,"Office Supplies",Storage,$272.736,3,0.20,218.1888
"Standard Class","Home Office","United States",Naperville,Illinois,60540,Central,"Office Supplies",Binders,$3.54,2,0.80,0.7079999999999997
"Standard Class",Consumer,"United States",Dallas,Texas,75220,Central,"Office Supplies",Supplies,$51.52,5,0.20,41.216
"Standard Class",Consumer,"United States",Dallas,Texas,75220,Central,"Office Supplies",Paper,$3.528,1,0.20,2.8224
"Standard Class",Consumer,"United States",Dallas,Texas,75220,Central,"Office Supplies",Paper,$4.624,1,0.20,3.6992
"Standard Class",Consumer,"United States",Dallas,Texas,75220,Central,"Office Supplies",Supplies,$55.168,4,0.20,44.1344
"Same Day",Corporate,"United States","San Diego",California,92105,West,Furniture,Tables,$567.12,10,0.20,453.696
"Second Class",Consumer,"United States",Evanston,Illinois,60201,Central,Technology,Phones,$11.992,1,0.20,9.5936
"First Class",Corporate,"United States","San Francisco",California,94110,West,Technology,Copiers,$1199.976,3,0.20,959.9808
"Standard Class",Corporate,"United States",Jacksonville,Florida,32216,South,Furniture,Tables,$383.438,4,0.45,210.8909
"Standard Class",Corporate,"United States","New York City","New York",10009,East,"Office Supplies",Binders,$13.128,3,0.20,10.5024
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,Technology,Phones,$107.982,3,0.40,64.7892
"Standard Class",Corporate,"United States","Saint Petersburg",Florida,33710,South,Furniture,Furnishings,$310.88,2,0.20,248.704
"Standard Class",Consumer,"United States",Cincinnati,Ohio,45231,East,"Office Supplies",Art,$32.76,7,0.20,26.208
"First Class","Home Office","United States","San Francisco",California,94110,West,Furniture,Chairs,$544.008,3,0.20,435.20640000000003
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Binders,$32.07,5,0.70,9.621000000000002
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,Technology,Accessories,$24,2,0.20,19.2
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,Furniture,Bookcases,$35.49,1,0.50,17.745
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,Technology,Accessories,$47.984,2,0.20,38.3872
"Second Class",Consumer,"United States",Lancaster,California,93534,West,"Office Supplies",Binders,$17.456,2,0.20,13.9648
"Standard Class",Consumer,"United States",Lancaster,California,93534,West,Furniture,Chairs,$348.928,2,0.20,279.1424
"Same Day",Consumer,"United States",Asheville,"North Carolina",28806,South,Technology,Phones,$1363.96,5,0.20,1091.1680000000001
"Standard Class",Consumer,"United States","Lake Elsinore",California,92530,West,Furniture,Chairs,$283.92,5,0.20,227.13600000000002
"First Class",Corporate,"United States","San Diego",California,92105,West,Technology,Phones,$215.968,2,0.20,172.77439999999999
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,"Office Supplies",Art,$43.176,3,0.20,34.540800000000004
"Standard Class",Consumer,"United States",Denver,Colorado,80219,West,Technology,Phones,$1983.968,4,0.20,1587.1744
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Paper,$5.344,1,0.20,4.2752
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Paper,$41.472,8,0.20,33.1776
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,$3.168,3,0.70,0.9504000000000001
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,$31.086,3,0.70,9.325800000000001
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Paper,$335.52,4,0.20,268.416
"Standard Class",Corporate,"United States",Tampa,Florida,33614,South,"Office Supplies",Art,$35.216,2,0.20,28.172800000000002
"Standard Class",Corporate,"United States",Tampa,Florida,33614,South,"Office Supplies",Appliances,$23.696,2,0.20,18.9568
"Standard Class",Corporate,"United States",Tampa,Florida,33614,South,Technology,Machines,$265.475,1,0.50,132.7375
"Second Class",Consumer,"United States",Tyler,Texas,75701,Central,"Office Supplies",Binders,$51.184,4,0.80,10.236799999999995
"Standard Class","Home Office","United States",Columbia,Tennessee,38401,South,"Office Supplies",Paper,$9.664,2,0.20,7.731199999999999
"Standard Class",Corporate,"United States","Fort Worth",Texas,76106,Central,Technology,Phones,$21.072,3,0.20,16.857599999999998
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Bookcases,$186.048,4,0.20,148.8384
"First Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Binders,$37.44,4,0.20,29.951999999999998
"First Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Binders,$26.976,4,0.20,21.5808
"Standard Class",Consumer,"United States",Lorain,Ohio,44052,East,Furniture,Furnishings,$48.896,4,0.20,39.1168
"Second Class",Corporate,"United States",Jacksonville,Florida,32216,South,Technology,Accessories,$191.472,6,0.20,153.1776
"Second Class",Corporate,"United States",Jacksonville,Florida,32216,South,"Office Supplies",Art,$5.248,2,0.20,4.1984
"Second Class",Corporate,"United States",Jacksonville,Florida,32216,South,Technology,Phones,$59.184,2,0.20,47.3472
"First Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Labels,$15.936,4,0.20,12.7488
"Standard Class",Corporate,"United States",Lancaster,Pennsylvania,17602,East,"Office Supplies",Binders,$44.91,6,0.70,13.473000000000003
"First Class","Home Office","United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Binders,$1141.47,5,0.70,342.44100000000003
"First Class","Home Office","United States",Philadelphia,Pennsylvania,19143,East,Technology,Phones,$280.782,3,0.40,168.4692
"Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,$106.344,7,0.20,85.0752
"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Paper,$192.16,5,0.20,153.728
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19120,East,"Office Supplies",Binders,$5.892,4,0.70,1.7676000000000007
"Second Class","Home Office","United States","New York City","New York",10024,East,"Office Supplies",Binders,$68.472,3,0.20,54.77759999999999
"Second Class","Home Office","United States","New York City","New York",10024,East,Furniture,Chairs,$1242.9,5,0.10,1118.6100000000001
"Second Class",Corporate,"United States","Los Angeles",California,90045,West,"Office Supplies",Binders,$13.944,3,0.20,11.1552
"Standard Class",Consumer,"United States","New Rochelle","New York",10801,East,"Office Supplies",Binders,$51.312,3,0.20,41.0496
